Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
26-December-2019,5.85,5.85,5.80,5.85,5.833333333333333333,30000,3,175000.00,20000,66.67,0.05,0.00
24-December-2019,4.90,4.90,4.90,4.90,4.900000000000000000,10000,1,49000.00,10000,100.00,0.00,0.00
10-December-2019,5.85,6.02,5.85,6.02,5.935000000000000000,20000,2,118700.00,20000,100.00,0.17,0.17
9-December-2019,5.02,5.02,5.02,5.02,5.020000000000000000,10000,1,50200.00,10000,100.00,0.00,0.00
29-November-2019,6.06,6.10,6.06,6.08,6.080000000000000000,20000,2,121600.00,10000,50.00,0.04,0.02
27-November-2019,6.72,6.73,6.72,6.73,6.725000000000000000,20000,2,134500.00,0,0.00,0.01,0.01
25-November-2019,6.33,6.33,6.33,6.33,6.330000000000000000,20000,2,126600.00,20000,100.00,0.00,0.00
22-November-2019,5.81,7.04,5.79,7.03,6.376666666666666666,90000,9,573900.00,30000,33.33,1.25,1.22
4-November-2019,6.42,6.43,6.42,6.43,6.423333333333333333,30000,2,192700.00,30000,100.00,0.01,0.01
1-November-2019,5.80,5.85,5.80,5.85,5.825000000000000000,20000,2,116500.00,10000,50.00,0.05,0.05
20-September-2019,6.44,6.44,6.44,6.44,6.440000000000000000,20000,2,128800.00,10000,50.00,0.00,0.00
11-September-2019,6.77,6.77,6.77,6.77,6.770000000000000000,10000,1,67700.00,10000,100.00,0.00,0.00
9-September-2019,7.12,7.12,7.12,7.12,7.120000000000000000,10000,1,71200.00,10000,100.00,0.00,0.00
6-September-2019,7.49,7.49,7.49,7.49,7.490000000000000000,10000,1,74900.00,10000,100.00,0.00,0.00
29-August-2019,7.16,7.16,7.16,7.16,7.160000000000000000,10000,1,71600.00,10000,100.00,0.00,0.00
28-August-2019,6.30,6.82,6.30,6.82,6.560000000000000000,20000,2,131200.00,10000,50.00,0.52,0.52
26-August-2019,6.61,6.61,6.50,6.50,6.555000000000000000,20000,2,131100.00,20000,100.00,0.11,-0.11
20-August-2019,6.30,6.30,6.30,6.30,6.300000000000000000,10000,1,63000.00,10000,100.00,0.00,0.00
14-August-2019,6.30,6.30,6.30,6.30,6.300000000000000000,10000,1,63000.00,10000,100.00,0.00,0.00
13-August-2019,6.10,6.10,6.10,6.10,6.100000000000000000,10000,1,61000.00,10000,100.00,0.00,0.00
2-August-2019,6.04,6.04,6.04,6.04,6.040000000000000000,20000,1,120800.00,20000,100.00,0.00,0.00
1-August-2019,5.76,5.76,5.76,5.76,5.760000000000000000,250000,3,1440000.00,250000,100.00,0.00,0.00
31-July-2019,6.36,6.38,6.36,6.38,6.370000000000000000,40000,3,254800.00,20000,50.00,0.02,0.02
26-July-2019,7.06,7.06,7.06,7.06,7.060000000000000000,10000,1,70600.00,10000,100.00,0.00,0.00
25-July-2019,7.99,7.99,6.65,7.84,7.412000000000000000,50000,5,370600.00,20000,40.00,1.34,-0.15
15-July-2019,7.38,7.38,7.38,7.38,7.380000000000000000,10000,1,73800.00,10000,100.00,0.00,0.00
12-July-2019,7.14,8.19,7.14,8.19,7.752500000000000000,40000,4,310100.00,20000,50.00,1.05,1.05
11-July-2019,7.15,7.90,7.15,7.90,7.337500000000000000,40000,2,293500.00,40000,100.00,0.75,0.75
10-July-2019,6.61,7.66,6.61,7.66,7.068000000000000000,50000,4,353400.00,30000,60.00,1.05,1.05
9-July-2019,6.46,7.35,6.46,7.33,6.930000000000000000,40000,4,277200.00,20000,50.00,0.89,0.87
5-July-2019,6.50,7.20,6.50,7.13,6.807142857142857142,140000,13,953000.00,110000,78.57,0.70,0.63
4-July-2019,6.00,6.00,6.00,6.00,6.000000000000000000,20000,2,120000.00,20000,100.00,0.00,0.00
1-July-2019,5.00,5.00,5.00,5.00,5.000000000000000000,100000,1,500000.00,100000,100.00,0.00,0.00
28-June-2019,4.95,5.07,4.95,5.07,5.010000000000000000,200000,4,1002000.00,200000,100.00,0.12,0.12
26-June-2019,4.95,4.95,4.95,4.95,4.950000000000000000,100000,2,495000.00,100000,100.00,0.00,0.00
4-June-2019,5.25,5.99,5.25,5.99,5.604000000000000000,50000,5,280200.00,10000,20.00,0.74,0.74
3-June-2019,6.00,6.00,6.00,6.00,6.000000000000000000,30000,3,180000.00,30000,100.00,0.00,0.00
