Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
26-December-2019,6.91,6.91,6.90,6.90,6.905263157894736842,950,4,6560.00,950,100.00,0.01,-0.01
24-December-2019,7.50,7.50,7.26,7.26,7.361313868613138686,822,5,6051.00,822,100.00,0.24,-0.24
20-December-2019,7.64,7.64,7.64,7.64,7.639024390243902439,205,3,1566.00,205,100.00,0.00,0.00
12-December-2019,8.46,8.46,8.04,8.04,8.000000000000000000,11,2,88.00,11,100.00,0.42,-0.42
5-December-2019,8.46,8.46,8.46,8.46,8.000000000000000000,1,1,8.00,1,100.00,0.00,0.00
2-December-2019,8.46,8.46,8.46,8.46,8.400000000000000000,10,1,84.00,10,100.00,0.00,0.00
29-November-2019,8.63,8.63,8.63,8.63,8.630000000000000000,1000,1,8630.00,1000,100.00,0.00,0.00
27-November-2019,8.80,8.80,8.80,8.80,8.800000000000000000,10,1,88.00,10,100.00,0.00,0.00
26-November-2019,8.80,8.97,8.80,8.97,8.831234256926952141,397,3,3506.00,397,100.00,0.17,0.17
25-November-2019,8.97,8.97,8.97,8.97,8.900000000000000000,10,1,89.00,10,100.00,0.00,0.00
20-November-2019,8.97,8.97,8.97,8.97,8.900000000000000000,10,1,89.00,10,100.00,0.00,0.00
15-November-2019,9.15,9.15,9.15,9.15,9.100000000000000000,10,1,91.00,10,100.00,0.00,0.00
13-November-2019,9.52,9.52,9.33,9.33,9.506250000000000000,160,3,1521.00,160,100.00,0.19,-0.19
11-November-2019,9.52,9.52,9.52,9.52,9.500000000000000000,10,1,95.00,10,100.00,0.00,0.00
7-November-2019,9.71,9.71,9.71,9.71,9.700000000000000000,10,1,97.00,10,100.00,0.00,0.00
6-November-2019,9.90,9.90,9.90,9.90,9.833333333333333333,12,2,118.00,12,100.00,0.00,0.00
5-November-2019,10.09,10.09,10.09,10.09,10.000000000000000000,2,1,20.00,2,100.00,0.00,0.00
4-November-2019,10.29,10.29,10.29,10.29,10.285714285714285714,7,2,72.00,7,100.00,0.00,0.00
1-November-2019,10.49,10.49,10.49,10.49,10.000000000000000000,1,1,10.00,1,100.00,0.00,0.00
31-October-2019,10.70,10.70,10.70,10.70,10.700000000000000000,300,2,3210.00,300,100.00,0.00,0.00
25-October-2019,10.91,10.91,10.91,10.91,10.909523809523809523,210,2,2291.00,210,100.00,0.00,0.00
23-October-2019,11.13,11.13,11.13,11.13,11.100000000000000000,10,1,111.00,10,100.00,0.00,0.00
22-October-2019,11.35,11.35,11.35,11.35,11.300000000000000000,10,2,113.00,10,100.00,0.00,0.00
16-October-2019,11.58,11.58,11.58,11.58,11.400000000000000000,5,1,57.00,5,100.00,0.00,0.00
10-October-2019,11.81,11.81,11.81,11.81,11.800000000000000000,5,1,59.00,5,100.00,0.00,0.00
9-October-2019,12.05,12.05,12.05,12.05,12.000000000000000000,5,1,60.00,5,100.00,0.00,0.00
7-October-2019,12.54,12.54,12.29,12.29,12.533333333333333333,510,2,6392.00,510,100.00,0.25,-0.25
3-October-2019,12.54,12.54,12.54,12.54,12.400000000000000000,5,1,62.00,5,100.00,0.00,0.00
1-October-2019,12.79,12.79,12.79,12.79,12.600000000000000000,5,1,63.00,5,100.00,0.00,0.00
30-September-2019,13.30,13.30,13.05,13.05,13.200000000000000000,15,2,198.00,15,100.00,0.25,-0.25
27-September-2019,13.30,13.30,13.30,13.30,13.300000000000000000,10,1,133.00,10,100.00,0.00,0.00
25-September-2019,13.55,13.55,13.55,13.55,13.400000000000000000,5,1,67.00,5,100.00,0.00,0.00
24-September-2019,13.80,13.80,13.80,13.80,13.750000000000000000,4,1,55.00,4,100.00,0.00,0.00
23-September-2019,14.05,14.05,14.05,14.05,14.000000000000000000,10,1,140.00,10,100.00,0.00,0.00
19-September-2019,14.30,14.30,14.30,14.30,14.166666666666666666,6,1,85.00,6,100.00,0.00,0.00
18-September-2019,14.55,14.55,14.55,14.55,14.400000000000000000,5,1,72.00,5,100.00,0.00,0.00
17-September-2019,14.80,14.80,14.80,14.80,14.800000000000000000,5,1,74.00,5,100.00,0.00,0.00
16-September-2019,15.85,15.85,15.10,15.10,15.666666666666666666,207,3,3243.00,207,100.00,0.75,-0.75
12-September-2019,15.85,15.85,15.85,15.85,15.777777777777777777,9,1,142.00,9,100.00,0.00,0.00
11-September-2019,17.50,17.50,16.65,16.65,17.130434782608695652,23,2,394.00,23,100.00,0.85,-0.85
9-September-2019,17.50,17.50,17.50,17.50,17.500000000000000000,16,1,280.00,16,100.00,0.00,0.00
6-September-2019,18.40,18.40,18.40,18.40,18.400000000000000000,10,1,184.00,10,100.00,0.00,0.00
5-September-2019,19.35,19.35,19.35,19.35,19.333333333333333333,15,1,290.00,15,100.00,0.00,0.00
4-September-2019,20.35,20.35,20.35,20.35,20.300000000000000000,10,1,203.00,10,100.00,0.00,0.00
