Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
26-December-2019,21.00,21.70,21.00,21.40,21.182344526939581772,29362,101,621956.00,26739,91.07,0.70,0.40
24-December-2019,21.35,21.65,20.80,20.95,21.046441790627837139,28638,97,602728.00,25917,90.50,0.85,-0.40
23-December-2019,21.50,21.80,21.00,21.15,21.381215121228363338,31717,134,678148.00,24224,76.38,0.80,-0.35
20-December-2019,23.25,23.25,21.25,21.70,22.033627398027566064,49989,169,1101439.00,37469,74.95,2.00,-1.55
19-December-2019,22.30,23.00,22.25,22.55,22.590048449072784986,35914,116,811299.00,24329,67.74,0.75,0.25
18-December-2019,22.85,22.85,22.05,22.20,22.474925991711071640,33780,112,759203.00,27487,81.37,0.80,-0.65
17-December-2019,22.20,22.80,22.20,22.70,22.454637951500763099,17691,90,397245.00,15602,88.19,0.60,0.50
16-December-2019,21.50,22.40,21.50,22.00,22.054774477817765968,59462,156,1311421.00,53921,90.68,0.90,0.50
13-December-2019,21.75,22.25,21.05,21.65,21.735054048091771453,49863,205,1083775.00,33501,67.19,1.20,-0.10
12-December-2019,20.60,21.50,20.25,21.15,20.764310220296135789,22152,129,459971.00,18075,81.60,1.25,0.55
11-December-2019,20.50,20.60,20.20,20.35,20.382390540108660914,12516,86,255106.00,9471,75.67,0.40,-0.15
10-December-2019,20.30,20.80,20.30,20.35,20.334624388167695254,46990,54,955524.00,45598,97.04,0.50,0.05
9-December-2019,20.20,20.70,20.10,20.45,20.437917326025705353,25909,133,529526.00,18809,72.60,0.60,0.25
6-December-2019,20.90,21.35,20.05,20.25,20.470162906176496210,34437,170,704931.00,28235,81.99,1.30,-0.65
5-December-2019,20.55,21.00,20.35,20.50,20.643995336183443451,15438,82,318702.00,13105,84.89,0.65,-0.05
4-December-2019,20.25,21.10,20.10,20.65,20.615620680769320870,42687,128,880019.00,34873,81.69,1.00,0.40
3-December-2019,21.10,21.30,20.40,20.60,20.676944559223743641,70183,215,1451170.00,60629,86.39,0.90,-0.50
2-December-2019,22.05,22.05,21.00,21.25,21.394424562064418911,111489,210,2385243.00,92511,82.98,1.05,-0.80
