Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
24-December-2019,155.00,155.00,155.00,155.00,155.000000000000000000,100,2,15500.00,100,100.00,0.00,0.00
23-December-2019,160.00,169.95,155.00,155.00,157.480555555555555555,360,20,56693.00,258,71.67,14.95,-5.00
20-December-2019,163.00,163.00,162.05,162.05,162.100000000000000000,10,2,1621.00,10,100.00,0.95,-0.95
19-December-2019,167.20,175.00,167.20,170.00,168.686335403726708074,322,8,54317.00,322,100.00,7.80,2.80
18-December-2019,176.00,176.00,175.00,176.00,175.666666666666666666,3,3,527.00,3,100.00,1.00,0.00
17-December-2019,176.00,178.00,176.00,176.00,176.440000000000000000,500,16,88220.00,500,100.00,2.00,0.00
27-November-2019,185.00,185.00,185.00,185.00,185.000000000000000000,65,2,12025.00,65,100.00,0.00,0.00
25-November-2019,193.90,193.90,193.90,193.90,193.000000000000000000,1,1,193.00,1,100.00,0.00,0.00
20-November-2019,190.00,190.00,190.00,190.00,190.000000000000000000,20,1,3800.00,20,100.00,0.00,0.00
8-November-2019,185.00,185.00,185.00,185.00,185.000000000000000000,180,4,33300.00,180,100.00,0.00,0.00
5-November-2019,193.95,193.95,193.95,193.95,193.950000000000000000,60,1,11637.00,60,100.00,0.00,0.00
1-November-2019,193.95,193.95,193.95,193.95,193.000000000000000000,1,1,193.00,1,100.00,0.00,0.00
17-October-2019,194.10,194.10,194.10,194.10,194.000000000000000000,7,1,1358.00,7,100.00,0.00,0.00
14-October-2019,185.00,185.00,185.00,185.00,185.000000000000000000,2,1,370.00,2,100.00,0.00,0.00
7-October-2019,185.00,185.00,185.00,185.00,185.000000000000000000,2,1,370.00,2,100.00,0.00,0.00
4-October-2019,175.75,185.00,175.75,185.00,181.666666666666666666,3,2,545.00,3,100.00,9.25,9.25
30-September-2019,175.75,185.00,175.75,185.00,178.833333333333333333,150,3,26825.00,100,66.67,9.25,9.25
27-September-2019,175.90,185.00,175.90,185.00,184.000000000000000000,64,3,11776.00,57,89.06,9.10,9.10
26-September-2019,184.10,192.00,184.10,185.05,188.728571428571428571,700,7,132110.00,600,85.71,7.90,0.95
25-September-2019,193.75,193.75,193.75,193.75,193.000000000000000000,1,1,193.00,1,100.00,0.00,0.00
24-September-2019,184.65,184.65,184.65,184.65,184.640000000000000000,50,1,9232.00,50,100.00,0.00,0.00
23-September-2019,203.95,204.00,194.00,194.35,203.495689655172413793,1160,9,236055.00,1110,95.69,10.00,-9.60
18-September-2019,203.95,203.95,203.95,203.95,203.000000000000000000,1,1,203.00,1,100.00,0.00,0.00
17-September-2019,203.95,203.95,203.95,203.95,203.900000000000000000,10,1,2039.00,10,100.00,0.00,0.00
12-September-2019,195.70,195.70,195.70,195.70,195.625000000000000000,8,2,1565.00,4,50.00,0.00,0.00
9-September-2019,186.45,186.45,186.45,186.45,186.450000000000000000,100,11,18645.00,100,100.00,0.00,0.00
5-September-2019,177.65,196.25,177.65,196.25,179.666666666666666666,9,4,1617.00,9,100.00,18.60,18.60
4-September-2019,186.95,186.95,186.95,186.95,186.000000000000000000,1,1,186.00,1,100.00,0.00,0.00
3-September-2019,180.05,180.05,180.05,180.05,180.040000000000000000,25,3,4501.00,25,100.00,0.00,0.00
30-August-2019,171.60,189.50,171.50,189.50,183.694323144104803493,229,13,42066.00,166,72.49,18.00,17.90
29-August-2019,180.55,180.55,180.50,180.50,180.476190476190476190,21,4,3790.00,21,100.00,0.05,-0.05
28-August-2019,190.05,190.05,190.00,190.00,190.000000000000000000,61,5,11590.00,61,100.00,0.05,-0.05
27-August-2019,200.00,200.00,200.00,200.00,200.000000000000000000,27,5,5400.00,27,100.00,0.00,0.00
22-August-2019,210.00,210.00,210.00,210.00,210.000000000000000000,1,1,210.00,1,100.00,0.00,0.00
21-August-2019,213.55,217.95,213.55,215.95,215.250000000000000000,4,4,861.00,4,100.00,4.40,2.40
20-August-2019,213.50,213.50,213.50,213.50,213.400000000000000000,5,1,1067.00,5,100.00,0.00,0.00
1-August-2019,224.50,224.50,224.50,224.50,224.500000000000000000,2,1,449.00,2,100.00,0.00,0.00
31-July-2019,218.00,218.00,218.00,218.00,218.000000000000000000,2,2,436.00,1,50.00,0.00,0.00
22-July-2019,219.95,219.95,219.95,219.95,219.500000000000000000,2,2,439.00,2,100.00,0.00,0.00
16-July-2019,224.50,224.50,219.60,219.80,222.000000000000000000,4,4,888.00,3,75.00,4.90,-4.70
15-July-2019,219.95,219.95,219.85,219.85,219.666666666666666666,3,3,659.00,3,100.00,0.10,-0.10
11-July-2019,214.95,217.85,214.95,217.85,216.000000000000000000,2,2,432.00,2,100.00,2.90,2.90
9-July-2019,208.85,208.85,208.85,208.85,208.000000000000000000,1,1,208.00,1,100.00,0.00,0.00
