Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
17-December-2019,0.49,0.49,0.49,0.49,0.487562189054726368,201,2,98.00,201,100.00,0.00,0.00
11-December-2019,0.49,0.49,0.49,0.49,0.484615384615384615,130,2,63.00,130,100.00,0.00,0.00
6-December-2019,0.49,0.49,0.49,0.49,0.480000000000000000,25,1,12.00,25,100.00,0.00,0.00
4-December-2019,0.49,0.49,0.49,0.49,0.489900844656628718,5446,2,2668.00,5446,100.00,0.00,0.00
3-December-2019,0.49,0.49,0.49,0.49,0.489994979559635659,13943,3,6832.00,13943,100.00,0.00,0.00
2-December-2019,0.49,0.49,0.49,0.49,0.489956546691809461,12197,8,5976.00,12197,100.00,0.00,0.00
29-November-2019,0.49,0.49,0.49,0.49,0.488142292490118577,506,2,247.00,506,100.00,0.00,0.00
28-November-2019,0.49,0.49,0.49,0.49,0.000000000000000000,2,2,0.00,2,100.00,0.00,0.00
26-November-2019,0.49,0.49,0.49,0.49,0.490000000000000000,2000,2,980.00,2000,100.00,0.00,0.00
22-November-2019,0.49,0.49,0.49,0.49,0.400000000000000000,5,1,2.00,5,100.00,0.00,0.00
21-November-2019,0.49,0.49,0.49,0.49,0.490000000000000000,100,1,49.00,100,100.00,0.00,0.00
20-November-2019,0.49,0.49,0.49,0.49,0.489648964896489648,1111,1,544.00,1111,100.00,0.00,0.00
19-November-2019,0.49,0.49,0.49,0.49,0.490000000000000000,1500,2,735.00,1500,100.00,0.00,0.00
18-November-2019,0.49,0.49,0.49,0.49,0.000000000000000000,1,1,0.00,1,100.00,0.00,0.00
15-November-2019,0.49,0.49,0.49,0.49,0.483333333333333333,60,1,29.00,60,100.00,0.00,0.00
13-November-2019,0.49,0.49,0.49,0.49,0.000000000000000000,1,1,0.00,1,100.00,0.00,0.00
11-November-2019,0.49,0.49,0.49,0.49,0.490000000000000000,300,1,147.00,300,100.00,0.00,0.00
8-November-2019,0.49,0.49,0.49,0.49,0.490000000000000000,1000,1,490.00,1000,100.00,0.00,0.00
6-November-2019,0.49,0.49,0.49,0.49,0.490000000000000000,100,1,49.00,100,100.00,0.00,0.00
5-November-2019,0.49,0.49,0.49,0.49,0.484848484848484848,99,1,48.00,99,100.00,0.00,0.00
4-November-2019,0.49,0.49,0.49,0.49,0.489655172413793103,290,2,142.00,290,100.00,0.00,0.00
1-November-2019,0.50,0.50,0.49,0.49,0.492376905773556610,4001,8,1970.00,4001,100.00,0.01,-0.01
31-October-2019,0.49,0.49,0.49,0.49,0.490000000000000000,500,1,245.00,500,100.00,0.00,0.00
29-October-2019,0.49,0.49,0.49,0.49,0.490000000000000000,500,1,245.00,500,100.00,0.00,0.00
25-October-2019,0.49,0.49,0.49,0.49,0.490000000000000000,300,1,147.00,300,100.00,0.00,0.00
23-October-2019,0.49,0.49,0.49,0.49,0.490000000000000000,800,2,392.00,800,100.00,0.00,0.00
22-October-2019,0.49,0.49,0.49,0.49,0.490000000000000000,300,1,147.00,300,100.00,0.00,0.00
18-October-2019,0.49,0.49,0.49,0.49,0.490000000000000000,300,2,147.00,300,100.00,0.00,0.00
17-October-2019,0.49,0.49,0.49,0.49,0.490000000000000000,1000,2,490.00,1000,100.00,0.00,0.00
16-October-2019,0.49,0.49,0.49,0.49,0.490000000000000000,4500,3,2205.00,4500,100.00,0.00,0.00
15-October-2019,0.49,0.49,0.49,0.49,0.490000000000000000,300,1,147.00,300,100.00,0.00,0.00
14-October-2019,0.49,0.49,0.49,0.49,0.490000000000000000,3600,4,1764.00,3600,100.00,0.00,0.00
11-October-2019,0.49,0.49,0.49,0.49,0.490000000000000000,2800,5,1372.00,2800,100.00,0.00,0.00
10-October-2019,0.49,0.49,0.49,0.49,0.490000000000000000,6000,5,2940.00,6000,100.00,0.00,0.00
9-October-2019,0.49,0.49,0.49,0.49,0.488000000000000000,250,1,122.00,250,100.00,0.00,0.00
30-September-2019,0.49,0.49,0.49,0.49,0.000000000000000000,1,1,0.00,1,100.00,0.00,0.00
26-September-2019,0.49,0.49,0.49,0.49,0.490000000000000000,5000,1,2450.00,5000,100.00,0.00,0.00
20-September-2019,0.49,0.50,0.49,0.49,0.496000000000000000,2500,3,1240.00,2500,100.00,0.01,0.00
17-September-2019,0.49,0.49,0.49,0.49,0.490000000000000000,2000,2,980.00,2000,100.00,0.00,0.00
13-September-2019,0.49,0.49,0.49,0.49,0.489898989898989898,5940,3,2910.00,5940,100.00,0.00,0.00
12-September-2019,0.49,0.50,0.49,0.49,0.493333333333333333,6000,4,2960.00,6000,100.00,0.01,0.00
11-September-2019,0.50,0.50,0.49,0.49,0.496072507552870090,3310,8,1642.00,3310,100.00,0.01,-0.01
9-September-2019,0.49,0.49,0.49,0.49,0.489785749875435974,2007,4,983.00,2007,100.00,0.00,0.00
6-September-2019,0.49,0.49,0.49,0.49,0.490000000000000000,5000,2,2450.00,5000,100.00,0.00,0.00
4-September-2019,0.49,0.49,0.49,0.49,0.000000000000000000,2,1,0.00,2,100.00,0.00,0.00
3-September-2019,0.49,0.49,0.49,0.49,0.489864864864864864,2960,4,1450.00,2960,100.00,0.00,0.00
30-August-2019,0.49,0.49,0.49,0.49,0.489606126914660831,1828,5,895.00,1828,100.00,0.00,0.00
29-August-2019,0.49,0.50,0.49,0.50,0.495000000000000000,1000,2,495.00,1000,100.00,0.01,0.01
28-August-2019,0.49,0.49,0.49,0.49,0.489779665516325988,3767,6,1845.00,3767,100.00,0.00,0.00
27-August-2019,0.49,0.49,0.49,0.49,0.487500000000000000,240,2,117.00,240,100.00,0.00,0.00
22-August-2019,0.49,0.49,0.49,0.49,0.488888888888888888,90,1,44.00,90,100.00,0.00,0.00
21-August-2019,0.49,0.49,0.49,0.49,0.490000000000000000,5000,5,2450.00,5000,100.00,0.00,0.00
20-August-2019,0.49,0.49,0.49,0.49,0.489525909592061742,907,3,444.00,907,100.00,0.00,0.00
14-August-2019,0.49,0.50,0.49,0.50,0.497700562084823709,1957,8,974.00,1957,100.00,0.01,0.01
13-August-2019,0.49,0.49,0.49,0.49,0.489583333333333333,960,3,470.00,960,100.00,0.00,0.00
9-August-2019,0.49,0.49,0.49,0.49,0.490000000000000000,5500,9,2695.00,5500,100.00,0.00,0.00
30-July-2019,0.49,0.49,0.49,0.49,0.333333333333333333,3,1,1.00,3,100.00,0.00,0.00
26-July-2019,0.49,0.49,0.49,0.49,0.000000000000000000,1,1,0.00,1,100.00,0.00,0.00
24-July-2019,0.49,0.49,0.49,0.49,0.464285714285714285,28,1,13.00,28,100.00,0.00,0.00
22-July-2019,0.49,0.49,0.49,0.49,0.488000000000000000,250,2,122.00,250,100.00,0.00,0.00
8-July-2019,0.49,0.49,0.49,0.49,0.490000000000000000,100,1,49.00,100,100.00,0.00,0.00
5-July-2019,0.49,0.49,0.49,0.49,0.000000000000000000,1,1,0.00,1,100.00,0.00,0.00
4-July-2019,0.49,0.49,0.49,0.49,0.000000000000000000,1,1,0.00,1,100.00,0.00,0.00
2-July-2019,0.50,0.50,0.50,0.50,0.499500499500499500,1001,2,500.00,1001,100.00,0.00,0.00
1-July-2019,0.51,0.51,0.51,0.51,0.509898020395920815,5001,4,2550.00,5001,100.00,0.00,0.00
28-June-2019,0.52,0.52,0.52,0.52,0.517647058823529411,170,1,88.00,170,100.00,0.00,0.00
27-June-2019,0.53,0.53,0.53,0.53,0.500000000000000000,10,1,5.00,10,100.00,0.00,0.00
26-June-2019,0.53,0.53,0.53,0.53,0.454545454545454545,11,2,5.00,11,100.00,0.00,0.00
25-June-2019,0.54,0.54,0.54,0.54,0.000000000000000000,1,1,0.00,1,100.00,0.00,0.00
24-June-2019,0.55,0.55,0.55,0.55,0.544554455445544554,101,2,55.00,101,100.00,0.00,0.00
21-June-2019,0.56,0.56,0.56,0.56,0.545454545454545454,11,2,6.00,11,100.00,0.00,0.00
19-June-2019,0.57,0.57,0.57,0.57,0.564356435643564356,101,2,57.00,101,100.00,0.00,0.00
18-June-2019,0.58,0.58,0.58,0.58,0.000000000000000000,1,1,0.00,1,100.00,0.00,0.00
17-June-2019,0.59,0.59,0.59,0.59,0.000000000000000000,1,1,0.00,1,100.00,0.00,0.00
12-June-2019,0.60,0.60,0.60,0.60,0.000000000000000000,1,1,0.00,1,100.00,0.00,0.00
11-June-2019,0.61,0.61,0.61,0.61,0.000000000000000000,1,1,0.00,1,100.00,0.00,0.00
10-June-2019,0.62,0.62,0.62,0.62,0.000000000000000000,1,1,0.00,1,100.00,0.00,0.00
7-June-2019,0.63,0.63,0.63,0.63,0.000000000000000000,1,1,0.00,1,100.00,0.00,0.00
6-June-2019,0.64,0.64,0.64,0.64,0.000000000000000000,1,1,0.00,1,100.00,0.00,0.00
4-June-2019,0.65,0.65,0.65,0.65,0.643564356435643564,101,3,65.00,101,100.00,0.00,0.00
3-June-2019,0.66,0.66,0.66,0.66,0.000000000000000000,1,1,0.00,1,100.00,0.00,0.00
30-May-2019,0.67,0.67,0.67,0.67,0.000000000000000000,1,1,0.00,1,100.00,0.00,0.00
22-May-2019,0.68,0.68,0.68,0.68,0.000000000000000000,1,1,0.00,1,100.00,0.00,0.00
21-May-2019,0.69,0.69,0.69,0.69,0.000000000000000000,1,1,0.00,1,100.00,0.00,0.00
20-May-2019,0.70,0.70,0.70,0.70,0.700000000000000000,110,1,77.00,110,100.00,0.00,0.00
11-April-2019,0.72,0.72,0.71,0.71,0.709645177411294352,2001,3,1420.00,2001,100.00,0.01,-0.01
9-April-2019,0.72,0.72,0.72,0.72,0.719965870307167235,5860,1,4219.00,5860,100.00,0.00,0.00
8-April-2019,0.72,0.72,0.72,0.72,0.720000000000000000,50,1,36.00,50,100.00,0.00,0.00
1-April-2019,0.73,0.73,0.73,0.73,0.730000000000000000,2000,3,1460.00,2000,100.00,0.00,0.00
25-March-2019,0.74,0.74,0.74,0.74,0.740000000000000000,50,1,37.00,50,100.00,0.00,0.00
24-January-2019,0.74,0.74,0.74,0.74,0.735714285714285714,140,8,103.00,140,100.00,0.00,0.00
21-January-2019,0.73,0.74,0.73,0.74,0.739900000000000000,10000,2,7399.00,10000,100.00,0.01,0.01
18-January-2019,0.73,0.73,0.73,0.73,0.730000000000000000,5000,1,3650.00,5000,100.00,0.00,0.00
17-January-2019,0.73,0.73,0.73,0.73,0.730000000000000000,200,1,146.00,200,100.00,0.00,0.00
16-January-2019,0.71,0.72,0.71,0.72,0.711793214862681744,3095,2,2203.00,3095,100.00,0.01,0.01
15-January-2019,0.71,0.71,0.71,0.71,0.710000000000000000,600,1,426.00,600,100.00,0.00,0.00
