Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
26-December-2019,165.90,166.05,165.00,165.00,165.194486983154670750,1959,45,323616.00,1412,72.08,1.05,-0.90
24-December-2019,165.60,165.65,163.90,164.70,164.708939959090362170,8311,143,1368896.00,2455,29.54,1.75,-0.90
23-December-2019,165.80,166.30,164.10,164.95,164.971882640586797066,3272,400,539788.00,2235,68.31,2.20,-0.85
20-December-2019,169.00,169.00,164.95,165.35,165.962791828793774319,8224,589,1364878.00,6377,77.54,4.05,-3.65
19-December-2019,170.00,170.55,167.25,167.70,168.410171886037202731,4247,198,715238.00,1431,33.69,3.30,-2.30
18-December-2019,172.05,172.35,168.00,168.85,169.670817120622568093,3855,170,654081.00,2541,65.91,4.35,-3.20
17-December-2019,182.50,182.50,171.20,172.40,176.053873659117997616,12585,441,2215638.00,5369,42.66,11.30,-10.10
16-December-2019,171.90,175.00,171.00,174.00,172.373673036093418259,942,71,162376.00,429,45.54,4.00,2.10
13-December-2019,171.50,172.40,170.00,171.60,171.305605786618444846,7189,274,1231516.00,3201,44.53,2.40,0.10
12-December-2019,171.00,171.95,169.60,171.10,170.522900763358778625,1048,81,178708.00,561,53.53,2.35,0.10
11-December-2019,172.50,172.50,170.95,171.10,171.285478547854785478,606,38,103799.00,365,60.23,1.55,-1.40
10-December-2019,174.90,176.40,172.95,173.25,174.775552486187845303,1448,74,253075.00,1012,69.89,3.45,-1.65
9-December-2019,176.00,177.70,174.10,175.75,175.638662185949751960,12498,520,2195132.00,5555,44.45,3.60,-0.25
6-December-2019,180.00,180.25,170.35,171.05,173.792403059878659984,3791,486,658847.00,2031,53.57,9.90,-8.95
5-December-2019,179.95,180.00,175.25,176.50,178.386820710312366281,2337,189,416890.00,1219,52.16,4.75,-3.45
4-December-2019,177.45,181.00,176.50,179.65,178.362391033623910336,2409,220,429675.00,1355,56.25,4.50,2.20
3-December-2019,179.05,179.05,176.05,177.25,177.452546296296296296,864,134,153319.00,723,83.68,3.00,-1.80
2-December-2019,181.00,181.45,176.55,178.10,179.523292916400765794,1567,186,281313.00,1006,64.20,4.90,-2.90
29-November-2019,180.40,181.00,180.00,180.50,180.537470725995316159,854,88,154179.00,508,59.48,1.00,0.10
28-November-2019,179.55,181.25,179.55,180.10,180.042265426880811496,1183,70,212990.00,775,65.51,1.70,0.55
27-November-2019,180.60,181.15,179.65,180.90,180.525743292240754169,1379,55,248945.00,1131,82.02,1.50,0.30
26-November-2019,184.00,185.10,179.20,179.75,180.766312278507400458,4797,232,867136.00,2381,49.64,5.90,-4.25
25-November-2019,182.20,184.90,181.20,182.75,183.336509528585757271,1994,157,365573.00,1041,52.21,3.70,0.55
22-November-2019,181.00,182.10,178.10,181.50,179.955432937181663837,2356,116,423975.00,1762,74.79,4.00,0.50
21-November-2019,180.05,180.70,178.55,180.35,180.040201005025125628,597,67,107484.00,463,77.55,2.15,0.30
20-November-2019,179.05,181.45,178.80,181.10,180.157284768211920529,604,17,108815.00,277,45.86,2.65,2.05
19-November-2019,180.40,180.40,176.00,179.35,177.882104274307186472,2129,114,378711.00,1170,54.96,4.40,-1.05
18-November-2019,184.10,184.10,178.95,180.20,180.891042458638967714,18677,638,3378502.00,4725,25.30,5.15,-3.90
15-November-2019,184.40,184.55,180.50,182.95,182.647665580890336590,3684,469,672874.00,2120,57.55,4.05,-1.45
