Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
23-December-2019,8.96,8.96,8.96,8.96,8.900000000000000000,10,1,89.00,10,100.00,0.00,0.00
3-December-2019,9.43,9.43,9.43,9.43,9.000000000000000000,1,1,9.00,1,100.00,0.00,0.00
19-November-2019,9.92,9.92,9.92,9.92,9.909090909090909090,11,1,109.00,11,100.00,0.00,0.00
7-November-2019,10.44,10.44,10.44,10.44,10.438095238095238095,210,5,2192.00,210,100.00,0.00,0.00
14-October-2019,10.98,10.98,10.98,10.98,10.900000000000000000,10,1,109.00,10,100.00,0.00,0.00
13-September-2019,11.55,11.55,11.55,11.55,11.400000000000000000,5,1,57.00,5,100.00,0.00,0.00
9-September-2019,12.15,12.15,12.15,12.15,12.150000000000000000,500,1,6075.00,500,100.00,0.00,0.00
4-September-2019,11.61,11.61,11.61,11.61,11.600000000000000000,25,1,290.00,25,100.00,0.00,0.00
3-September-2019,11.06,11.06,11.06,11.06,11.060000000000000000,50,1,553.00,50,100.00,0.00,0.00
30-August-2019,10.54,10.54,10.54,10.54,10.500000000000000000,18,1,189.00,18,100.00,0.00,0.00
23-August-2019,10.04,10.04,10.04,10.04,10.040000000000000000,500,2,5020.00,500,100.00,0.00,0.00
22-August-2019,9.57,9.57,9.57,9.57,9.570000000000000000,300,2,2871.00,300,100.00,0.00,0.00
9-August-2019,9.13,9.13,9.10,9.12,9.115000000000000000,1200,7,10938.00,1200,100.00,0.03,-0.01
15-July-2019,8.73,8.73,8.70,8.70,8.720000000000000000,500,5,4360.00,500,100.00,0.03,-0.03
12-July-2019,8.32,8.32,8.32,8.32,8.320000000000000000,75,1,624.00,75,100.00,0.00,0.00
8-July-2019,7.93,7.93,7.93,7.93,7.930000000000000000,100,6,793.00,100,100.00,0.00,0.00
4-July-2019,7.56,7.56,7.56,7.56,7.560000000000000000,100,1,756.00,100,100.00,0.00,0.00
28-June-2019,7.19,7.20,7.19,7.20,7.195555555555555555,450,2,3238.00,450,100.00,0.01,0.01
20-June-2019,7.22,7.22,7.22,7.22,7.200000000000000000,20,1,144.00,20,100.00,0.00,0.00
6-May-2019,7.22,7.22,7.22,7.22,7.220000000000000000,500,1,3610.00,500,100.00,0.00,0.00
15-April-2019,7.98,7.98,7.22,7.22,7.289090909090909090,550,3,4009.00,550,100.00,0.76,-0.76
8-March-2019,7.60,7.60,7.60,7.60,7.600000000000000000,200,1,1520.00,200,100.00,0.00,0.00
8-February-2019,8.00,8.00,8.00,8.00,8.000000000000000000,200,1,1600.00,200,100.00,0.00,0.00
4-January-2019,7.80,7.80,7.80,7.80,7.798507462686567164,268,1,2090.00,268,100.00,0.00,0.00
28-December-2018,7.89,7.89,7.89,7.89,7.890000000000000000,800,1,6312.00,800,100.00,0.00,0.00
