Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
24-December-2019,2.13,2.13,2.13,2.13,2.130000000000000000,200,1,426.00,200,100.00,0.00,0.00
23-December-2019,2.17,2.17,2.17,2.17,2.000000000000000000,2,1,4.00,2,100.00,0.00,0.00
20-December-2019,2.17,2.17,2.17,2.17,2.166666666666666666,150,2,325.00,150,100.00,0.00,0.00
17-December-2019,2.21,2.21,2.21,2.21,2.210000000000000000,500,3,1105.00,500,100.00,0.00,0.00
13-December-2019,2.25,2.25,2.25,2.25,2.250000000000000000,200,1,450.00,200,100.00,0.00,0.00
3-December-2019,2.29,2.29,2.29,2.29,2.286885245901639344,244,2,558.00,244,100.00,0.00,0.00
2-December-2019,2.33,2.33,2.33,2.33,2.330000000000000000,2000,1,4660.00,2000,100.00,0.00,0.00
28-November-2019,2.37,2.37,2.37,2.37,2.370000000000000000,2000,2,4740.00,2000,100.00,0.00,0.00
27-November-2019,2.41,2.41,2.41,2.41,2.410000000000000000,600,2,1446.00,600,100.00,0.00,0.00
25-November-2019,2.45,2.45,2.45,2.45,2.000000000000000000,1,1,2.00,1,100.00,0.00,0.00
22-November-2019,2.49,2.49,2.49,2.49,2.490000000000000000,700,2,1743.00,700,100.00,0.00,0.00
21-November-2019,2.55,2.55,2.54,2.54,2.545000000000000000,600,3,1527.00,600,100.00,0.01,-0.01
20-November-2019,2.59,2.59,2.59,2.59,2.590000000000000000,300,1,777.00,300,100.00,0.00,0.00
19-November-2019,2.70,2.70,2.64,2.64,2.641207815275310834,1126,4,2974.00,1126,100.00,0.06,-0.06
18-November-2019,2.69,2.69,2.69,2.69,2.690000000000000000,500,1,1345.00,500,100.00,0.00,0.00
14-November-2019,2.69,2.74,2.69,2.74,2.733333333333333333,750,3,2050.00,750,100.00,0.05,0.05
8-November-2019,2.74,2.74,2.74,2.74,2.731343283582089552,67,1,183.00,67,100.00,0.00,0.00
6-November-2019,2.79,2.79,2.79,2.79,2.790000000000000000,400,2,1116.00,400,100.00,0.00,0.00
31-October-2019,2.84,2.84,2.84,2.84,2.840000000000000000,300,1,852.00,300,100.00,0.00,0.00
30-October-2019,2.89,2.89,2.89,2.89,2.888888888888888888,252,2,728.00,252,100.00,0.00,0.00
29-October-2019,3.00,3.00,2.94,2.94,2.954397394136807817,307,5,907.00,307,100.00,0.06,-0.06
27-October-2019,3.00,3.00,3.00,3.00,3.000000000000000000,500,3,1500.00,500,100.00,0.00,0.00
25-October-2019,3.05,3.05,3.05,3.05,3.049247606019151846,731,3,2229.00,731,100.00,0.00,0.00
24-October-2019,3.05,3.05,3.05,3.05,3.050000000000000000,500,1,1525.00,500,100.00,0.00,0.00
23-October-2019,3.05,3.05,3.03,3.03,3.000000000000000000,26,2,78.00,26,100.00,0.02,-0.02
22-October-2019,3.09,3.09,3.09,3.09,3.072727272727272727,55,1,169.00,55,100.00,0.00,0.00
18-October-2019,3.20,3.20,3.15,3.15,3.133333333333333333,30,2,94.00,30,100.00,0.05,-0.05
17-October-2019,3.25,3.25,3.23,3.23,3.229885057471264367,87,3,281.00,87,100.00,0.02,-0.02
16-October-2019,3.40,3.40,3.40,3.40,3.400000000000000000,225,3,765.00,225,100.00,0.00,0.00
15-October-2019,3.50,3.50,3.46,3.46,3.452380952380952380,42,2,145.00,42,100.00,0.04,-0.04
14-October-2019,3.63,3.64,3.63,3.64,3.636666666666666666,300,3,1091.00,300,100.00,0.01,0.01
11-October-2019,3.81,3.81,3.81,3.81,3.800000000000000000,55,1,209.00,55,100.00,0.00,0.00
10-October-2019,4.11,4.11,4.00,4.00,4.050666666666666666,375,2,1519.00,375,100.00,0.11,-0.11
9-October-2019,4.25,4.25,4.10,4.11,4.110749185667752442,307,9,1262.00,307,100.00,0.15,-0.14
7-October-2019,4.35,4.35,4.30,4.30,4.324137931034482758,145,3,627.00,145,100.00,0.05,-0.05
4-October-2019,4.45,4.46,4.45,4.45,4.456591639871382636,311,4,1386.00,311,100.00,0.01,0.00
3-October-2019,4.91,4.91,4.66,4.68,4.761904761904761904,147,3,700.00,147,100.00,0.25,-0.23
1-October-2019,4.90,4.90,4.90,4.90,4.000000000000000000,1,1,4.00,1,100.00,0.00,0.00
30-September-2019,4.90,4.90,4.90,4.90,4.900000000000000000,50,1,245.00,50,100.00,0.00,0.00
27-September-2019,5.15,5.15,5.15,5.15,5.149253731343283582,134,2,690.00,134,100.00,0.00,0.00
25-September-2019,5.40,5.40,5.40,5.40,5.400000000000000000,300,2,1620.00,300,100.00,0.00,0.00
24-September-2019,5.51,5.51,5.51,5.51,5.510000000000000000,100,2,551.00,100,100.00,0.00,0.00
23-September-2019,6.00,6.00,5.80,5.80,5.829787234042553191,235,5,1370.00,235,100.00,0.20,-0.20
20-September-2019,6.25,6.25,6.10,6.10,6.234234234234234234,555,2,3460.00,555,100.00,0.15,-0.15
19-September-2019,6.42,6.42,6.42,6.42,6.400000000000000000,5,1,32.00,5,100.00,0.00,0.00
18-September-2019,6.75,6.75,6.75,6.75,6.750000000000000000,728,10,4914.00,728,100.00,0.00,0.00
16-September-2019,6.45,7.10,6.45,7.10,7.029268292682926829,1025,3,7205.00,1025,100.00,0.65,0.65
13-September-2019,7.12,7.47,6.77,6.77,6.800343495062258480,2329,7,15838.00,2329,100.00,0.70,-0.35
12-September-2019,7.65,7.65,7.12,7.12,7.125185185185185185,4050,5,28857.00,4050,100.00,0.53,-0.53
11-September-2019,8.00,8.00,7.41,7.49,7.430876420975430876,2727,18,20264.00,2708,99.30,0.59,-0.51
9-September-2019,7.79,7.79,7.79,7.79,7.788235294117647058,255,2,1986.00,255,100.00,0.00,0.00
6-September-2019,8.20,8.20,8.17,8.19,8.166666666666666666,30,3,245.00,20,66.67,0.03,-0.01
5-September-2019,8.60,8.60,8.60,8.60,8.600000000000000000,25,1,215.00,25,100.00,0.00,0.00
4-September-2019,8.50,8.50,8.50,8.50,8.476190476190476190,21,1,178.00,21,100.00,0.00,0.00
3-September-2019,8.24,8.24,8.24,8.24,8.240000000000000000,25,1,206.00,25,100.00,0.00,0.00
30-August-2019,7.98,7.98,7.22,7.85,7.850130039011703511,3076,10,24147.00,3076,100.00,0.76,-0.13
27-August-2019,8.15,8.40,7.60,7.60,7.790953545232273838,818,6,6373.00,818,100.00,0.80,-0.55
23-August-2019,7.70,8.00,7.70,8.00,7.963333333333333333,300,6,2389.00,300,100.00,0.30,0.30
21-August-2019,8.10,8.10,8.10,8.10,8.080000000000000000,25,1,202.00,25,100.00,0.00,0.00
20-August-2019,7.76,7.76,7.76,7.76,7.760000000000000000,100,1,776.00,100,100.00,0.00,0.00
19-August-2019,8.16,8.16,8.16,8.16,8.160000000000000000,100,1,816.00,100,100.00,0.00,0.00
16-August-2019,8.58,8.58,8.58,8.58,8.580000000000000000,200,1,1716.00,200,100.00,0.00,0.00
22-July-2019,9.03,9.03,9.03,9.03,9.000000000000000000,20,1,180.00,20,100.00,0.00,0.00
18-June-2019,9.50,9.50,9.50,9.50,9.500000000000000000,50,1,475.00,50,100.00,0.00,0.00
