Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-April-2019,509.00,526.00,505.00,512.75,517.115573713731736029,14441,761,7467666.00,3875,26.83,21.00,3.75
9-April-2019,485.00,514.95,485.00,510.35,506.208474997926859606,36177,1597,18313104.00,8869,24.52,29.95,25.35
8-April-2019,460.00,474.90,451.00,472.30,468.072995391705069124,5425,286,2539296.00,2253,41.53,23.90,12.30
5-April-2019,470.25,477.45,460.00,465.00,467.742995997712978845,3498,203,1636165.00,2324,66.44,17.45,-5.25
4-April-2019,478.70,483.00,467.25,469.25,474.885547496904298602,5653,173,2684528.00,3822,67.61,15.75,-9.45
3-April-2019,488.00,489.10,480.00,480.40,483.168789808917197452,628,48,303430.00,322,51.27,9.10,-7.60
2-April-2019,486.25,498.20,481.15,484.30,489.460327868852459016,4575,440,2239281.00,1004,21.95,17.05,-1.95
1-April-2019,493.00,493.00,485.75,486.50,488.246929709955578782,3827,119,1868521.00,2632,68.77,7.25,-6.50
29-March-2019,486.00,494.50,485.45,487.95,488.900223856731691717,3127,153,1528791.00,2093,66.93,9.05,1.95
28-March-2019,479.55,494.00,479.55,485.40,489.380728775356874530,5324,241,2605463.00,915,17.19,14.45,5.85
27-March-2019,470.15,500.00,470.15,484.20,485.667383994620040349,7435,330,3610937.00,4345,58.44,29.85,14.05
26-March-2019,478.25,488.95,475.00,479.20,483.668105834163622273,9033,334,4368974.00,2682,29.69,13.95,0.95
25-March-2019,497.95,497.95,481.00,482.40,486.434298758738764445,7009,299,3409418.00,1744,24.88,16.95,-15.55
22-March-2019,490.00,507.00,490.00,495.25,498.372981763270995469,8609,461,4290493.00,3687,42.83,17.00,5.25
20-March-2019,500.00,500.90,481.15,486.45,490.074828636709824828,5252,201,2573873.00,3527,67.16,19.75,-13.55
19-March-2019,501.50,504.40,497.00,499.05,500.828907664453832226,3314,160,1659747.00,1423,42.94,7.40,-2.45
18-March-2019,504.05,513.75,493.80,502.30,505.035884940650005688,105476,151,53269165.00,103402,98.03,19.95,-1.75
15-March-2019,505.05,510.95,496.10,502.90,504.861293670010377032,5782,188,2919108.00,4333,74.94,14.85,-2.15
14-March-2019,515.00,516.00,503.00,505.55,508.467111111111111111,2250,148,1144051.00,900,40.00,13.00,-9.45
13-March-2019,508.80,527.45,506.35,511.15,518.155398361876396128,13430,630,6958827.00,3023,22.51,21.10,2.35
12-March-2019,524.85,524.85,501.20,506.30,508.516481164383561643,23360,1078,11878945.00,9671,41.40,23.65,-18.55
11-March-2019,552.75,553.80,522.05,524.85,537.451196504815807764,10071,407,5412671.00,5864,58.23,31.75,-27.90
8-March-2019,558.00,564.00,542.00,549.50,553.674872782285792875,7271,388,4025770.00,3220,44.29,22.00,-8.50
7-March-2019,545.05,562.20,544.00,554.50,552.762866333095067905,11192,462,6186522.00,3736,33.38,18.20,9.45
6-March-2019,539.90,556.50,539.25,551.75,550.701309508168002452,22833,1489,12574163.00,8304,36.37,17.25,11.85
5-March-2019,499.95,542.75,494.45,538.00,530.301067766148641505,47295,2094,25080589.00,9225,19.51,48.30,38.05
1-March-2019,497.00,506.30,486.00,500.65,496.684274628527682082,28737,1330,14273216.00,5620,19.56,20.30,3.65
28-February-2019,467.45,508.35,465.00,493.50,494.743416596539479895,97442,5266,48208788.00,10225,10.49,43.35,26.05
27-February-2019,428.55,467.90,428.55,465.75,457.058997523208781026,56121,2228,25650608.00,9003,16.04,39.35,37.20
26-February-2019,425.10,432.25,420.00,425.40,425.519823179997237187,7239,393,3080338.00,1521,21.01,12.25,0.30
25-February-2019,432.55,433.95,428.00,429.80,432.071074380165289256,4235,276,1829821.00,1361,32.14,5.95,-2.75
22-February-2019,428.00,437.75,425.05,427.85,431.834728841942547984,15526,620,6704666.00,4562,29.38,12.70,-0.15
21-February-2019,433.00,435.00,427.15,429.30,430.436695879172105165,5363,295,2308432.00,1918,35.76,7.85,-3.70
20-February-2019,440.00,443.75,430.05,437.35,437.513346354166666666,9216,445,4032123.00,3521,38.21,13.70,-2.65
19-February-2019,425.05,436.60,425.00,432.95,433.089954337899543378,13140,532,5690802.00,4135,31.47,11.60,7.90
18-February-2019,423.00,431.50,423.00,426.90,427.369148119723714504,5212,323,2227448.00,2312,44.36,8.50,3.90
15-February-2019,425.70,432.70,418.50,423.95,425.586622547861025762,8462,454,3601314.00,1322,15.62,14.20,-1.75
14-February-2019,428.10,437.00,425.00,428.90,430.965502119573161818,6841,471,2948235.00,2347,34.31,12.00,0.80
13-February-2019,436.85,443.20,431.00,432.00,438.498519771621907379,9458,571,4147319.00,2026,21.42,12.20,-4.85
12-February-2019,429.00,448.20,425.40,437.65,440.298860278598564795,23690,1130,10430680.00,7495,31.64,22.80,8.65
11-February-2019,430.00,442.60,424.60,433.25,434.277155995141419399,23052,1228,10010957.00,6356,27.57,18.00,3.25
8-February-2019,434.10,441.50,430.80,432.10,435.790843524615867042,15945,1052,6948685.00,3449,21.63,10.70,-2.00
7-February-2019,439.95,450.95,426.90,438.30,441.902769230769230769,9750,809,4308552.00,1991,20.42,24.05,-1.65
6-February-2019,419.00,453.00,417.15,438.55,436.468481941309255079,35440,2081,15468443.00,6977,19.69,35.85,19.55
5-February-2019,420.00,430.90,403.00,418.50,421.503165118617996805,16903,864,7124668.00,5662,33.50,27.90,-1.50
4-February-2019,460.00,460.00,422.55,424.10,434.335610731544742542,36006,1568,15638688.00,14028,38.96,37.45,-35.90
1-February-2019,474.35,480.95,455.00,457.85,464.695565339748536153,22031,724,10237708.00,11632,52.80,25.95,-16.50
31-January-2019,486.00,498.25,470.00,474.95,480.953755934096621055,35810,1848,17222954.00,9591,26.78,28.25,-11.05
30-January-2019,515.00,519.25,458.50,477.95,477.941031734936390325,71530,3377,34187122.00,9737,13.61,60.75,-37.05
29-January-2019,501.00,523.00,490.10,508.85,511.141086944387593726,53747,2721,27472300.00,8156,15.17,32.90,7.85
28-January-2019,558.00,558.00,483.00,494.50,506.711185618995382083,113038,4971,57277619.00,17252,15.26,75.00,-63.50
