Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
26-December-2019,27.00,28.35,27.00,28.30,27.438138879097638350,5674,415,155684.00,4651,81.97,1.35,1.30
24-December-2019,27.00,28.45,26.75,27.05,27.405913304936106239,3991,317,109377.00,3219,80.66,1.70,0.05
23-December-2019,27.80,28.55,26.80,27.30,27.410929737402413058,5636,129,154488.00,3818,67.74,1.75,-0.50
20-December-2019,28.00,28.00,27.80,27.85,27.876033057851239669,484,11,13492.00,412,85.12,0.20,-0.15
19-December-2019,28.90,28.90,27.80,28.20,28.479857819905213270,844,6,24037.00,796,94.31,1.10,-0.70
18-December-2019,28.80,28.80,28.80,28.80,28.800000000000000000,230,1,6624.00,230,100.00,0.00,0.00
17-December-2019,27.55,28.50,27.55,28.00,28.192270154206519617,5123,151,144429.00,3992,77.92,0.95,0.45
16-December-2019,29.35,29.35,28.00,28.55,28.516853932584269662,89,4,2538.00,77,86.52,1.35,-0.80
13-December-2019,28.45,28.65,28.05,28.50,28.362061498484192291,2309,17,65488.00,2055,89.00,0.60,0.05
12-December-2019,27.10,28.45,27.10,27.30,27.339083878643664485,1681,21,45957.00,1514,90.07,1.35,0.20
11-December-2019,29.50,29.50,27.45,28.25,27.517151541467650890,2303,41,63372.00,1993,86.54,2.05,-1.25
10-December-2019,28.40,28.85,28.40,28.85,28.828407587119541243,4534,38,130708.00,2410,53.15,0.45,0.45
9-December-2019,27.25,29.50,27.20,27.50,27.643297630639402791,3081,21,85169.00,3081,100.00,2.30,0.25
6-December-2019,28.20,29.65,28.20,28.20,28.362612612612612612,2664,28,75558.00,2664,100.00,1.45,0.00
5-December-2019,29.00,29.80,27.55,29.65,28.656250000000000000,3776,25,108206.00,3776,100.00,2.25,0.65
4-December-2019,29.70,29.70,28.50,28.55,29.018018018018018018,888,9,25768.00,888,100.00,1.20,-1.15
3-December-2019,29.00,29.95,28.50,28.50,28.598750000000000000,3200,40,91516.00,3200,100.00,1.45,-0.50
2-December-2019,29.00,30.40,27.55,28.80,28.387417218543046357,3322,28,94303.00,3322,100.00,2.85,-0.20
29-November-2019,29.00,29.00,27.95,29.00,28.982868020304568527,1576,16,45677.00,1576,100.00,1.05,0.00
28-November-2019,27.15,29.00,27.10,27.65,28.182624113475177304,5076,50,143055.00,5076,100.00,1.90,0.50
27-November-2019,28.50,29.75,27.20,27.75,27.967373834779813564,6222,38,174013.00,6222,100.00,2.55,-0.75
26-November-2019,30.00,30.00,28.20,28.50,28.576825343045908859,11806,62,337378.00,11806,100.00,1.80,-1.50
25-November-2019,31.00,31.00,29.65,29.65,29.681098204857444561,1894,50,56216.00,1894,100.00,1.35,-1.35
22-November-2019,29.40,31.70,29.40,31.20,29.764418377321603128,1023,29,30449.00,1023,100.00,2.30,1.80
21-November-2019,30.60,31.90,29.50,30.90,30.092865232163080407,883,23,26572.00,883,100.00,2.40,0.30
20-November-2019,31.10,32.20,30.10,30.60,30.274909420289855072,2208,37,66847.00,2208,100.00,2.10,-0.50
19-November-2019,30.70,33.15,30.70,31.10,31.786006360745115856,2201,20,69961.00,2201,100.00,2.45,0.40
18-November-2019,32.30,32.30,32.30,32.30,32.300000000000000000,650,8,20995.00,650,100.00,0.00,0.00
15-November-2019,34.00,34.00,34.00,34.00,34.000000000000000000,101,2,3434.00,101,100.00,0.00,0.00
14-November-2019,33.70,35.75,33.70,35.75,33.957553058676654182,801,5,27200.00,801,100.00,2.05,2.05
13-November-2019,32.15,35.25,32.15,35.15,33.536531365313653136,1355,9,45442.00,1355,100.00,3.10,3.00
11-November-2019,32.00,33.65,32.00,33.65,33.280655737704918032,4575,34,152259.00,4575,100.00,1.65,1.65
8-November-2019,32.05,32.05,32.05,32.05,32.049668874172185430,906,13,29037.00,906,100.00,0.00,0.00
7-November-2019,33.05,34.40,32.50,33.70,32.834548104956268221,1372,19,45049.00,1372,100.00,1.90,0.65
6-November-2019,35.95,36.00,34.20,34.20,34.602462825278810408,4304,29,148929.00,2776,64.50,1.80,-1.75
5-November-2019,39.45,39.65,35.95,36.00,37.647888288041618180,14609,123,549998.00,10594,72.52,3.70,-3.45
4-November-2019,36.55,37.80,36.55,37.80,37.665117822768005310,9039,32,340455.00,7534,83.35,1.25,1.25
1-November-2019,35.80,36.00,35.60,36.00,35.940141398271798900,12730,125,457518.00,7219,56.71,0.40,0.20
31-October-2019,34.30,34.30,33.25,34.30,34.240006662225183211,18012,79,616731.00,10616,58.94,1.05,0.00
30-October-2019,32.70,32.70,30.65,32.70,32.200150813314661208,9283,95,298914.00,6424,69.20,2.05,0.00
