Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
26-December-2019,110.15,111.00,109.85,110.85,110.558820040333741943,25289,373,2795922.00,19181,75.85,1.15,0.70
24-December-2019,109.00,110.20,109.00,110.15,109.639170506912442396,21700,427,2379170.00,6216,28.65,1.20,1.15
23-December-2019,107.00,119.90,107.00,109.75,109.484188698807672369,28935,474,3167925.00,9670,33.42,12.90,2.75
20-December-2019,108.50,108.90,107.90,108.65,108.622256809338521400,32125,961,3489490.00,8177,25.45,1.00,0.15
19-December-2019,108.10,108.35,108.00,108.30,108.137563416975181681,29172,962,3154589.00,4030,13.81,0.35,0.20
18-December-2019,107.20,107.75,106.95,107.60,107.417528619280745021,27167,575,2918212.00,4529,16.67,0.80,0.40
17-December-2019,106.75,107.30,106.20,107.20,106.917301829268292682,15744,796,1683306.00,5010,31.82,1.10,0.45
16-December-2019,106.35,106.85,105.00,106.75,106.274259731618054785,27051,577,2874825.00,1533,5.67,1.85,0.40
13-December-2019,97.15,125.00,97.15,106.10,105.807052997096829282,35134,208,3717425.00,10107,28.77,27.85,8.95
12-December-2019,97.60,105.90,97.60,105.30,104.863391092871257029,26316,54,2759585.00,7118,27.05,8.30,7.70
11-December-2019,96.10,104.95,96.10,104.65,104.090741747897753420,23903,46,2488081.00,6645,27.80,8.85,8.55
10-December-2019,103.55,104.40,103.00,104.25,103.509490163480188417,28872,48,2988526.00,8250,28.57,1.40,0.70
9-December-2019,103.00,103.70,102.45,103.70,103.130358800720878160,18311,25,1888420.00,10990,60.02,1.25,0.70
6-December-2019,102.70,103.20,102.40,103.05,102.813461950696677384,23325,65,2398124.00,6353,27.24,0.80,0.35
5-December-2019,102.00,102.90,99.00,102.50,101.752218360943351665,29639,85,3015834.00,10609,35.79,3.90,0.50
4-December-2019,100.50,102.40,100.00,102.35,101.210877373011800923,17541,54,1775340.00,1540,8.78,2.40,1.85
3-December-2019,102.50,102.90,98.25,100.45,101.432555855634667321,20365,54,2065674.00,2088,10.25,4.65,-2.05
2-December-2019,99.00,102.90,98.50,102.90,99.943352707814374019,32517,88,3249858.00,11795,36.27,4.40,3.90
29-November-2019,99.75,102.40,98.55,100.45,100.186533588457361534,19337,58,1937307.00,4683,24.22,3.85,0.70
28-November-2019,102.00,102.40,97.50,102.40,99.014527513191256081,29186,89,2889838.00,5525,18.93,4.90,0.40
27-November-2019,103.50,103.50,101.65,102.00,102.123825293117336436,22346,67,2282059.00,2673,11.96,1.85,-1.50
26-November-2019,105.60,119.95,102.50,105.55,108.948288977975270479,165632,107,18045323.00,3984,2.41,17.45,-0.05
25-November-2019,106.10,107.40,105.00,107.15,106.694257073262132284,21348,36,2277709.00,14336,67.15,2.40,1.05
22-November-2019,110.10,110.40,103.75,105.15,107.185464874601635028,28868,63,3094230.00,8366,28.98,6.65,-4.95
21-November-2019,110.00,110.90,107.05,110.10,107.780386506187489404,23596,50,2543186.00,6920,29.33,3.85,0.10
20-November-2019,108.25,110.40,106.75,110.00,109.007187171576770519,29497,81,3215385.00,7274,24.66,3.65,1.75
19-November-2019,110.50,111.35,107.55,108.20,109.447279522748508589,27826,86,3045480.00,8536,30.68,3.80,-2.30
18-November-2019,111.75,112.05,107.10,111.10,111.147238477638716842,23411,53,2602068.00,6019,25.71,4.95,-0.65
15-November-2019,110.65,112.90,108.30,111.75,111.206506990738009556,33902,589,3770123.00,16005,47.21,4.60,1.10
14-November-2019,109.00,112.90,109.00,110.65,111.581663681426250676,24007,1660,2678741.00,5450,22.70,3.90,1.65
13-November-2019,111.70,112.90,111.00,111.20,111.847556390977443609,31920,1638,3570174.00,10699,33.52,1.90,-0.50
11-November-2019,110.00,112.00,109.50,111.70,110.751576062128825947,21890,126,2424352.00,3290,15.03,2.50,1.70
8-November-2019,115.95,116.35,112.25,112.25,114.930998925886143931,23275,1608,2675019.00,5375,23.09,4.10,-3.70
7-November-2019,117.00,118.95,114.00,115.95,116.393831457945438355,24706,1165,2875626.00,6218,25.17,4.95,-1.05
6-November-2019,121.90,121.90,117.80,118.90,119.408143679736769947,21882,1575,2612889.00,2929,13.39,4.10,-3.00
5-November-2019,124.00,124.85,120.50,122.35,123.081382058064726821,30621,217,3768875.00,8580,28.02,4.35,-1.65
4-November-2019,124.90,124.90,122.05,124.80,123.870274947881839279,25423,119,3149154.00,6714,26.41,2.85,-0.10
1-November-2019,123.70,125.00,120.75,124.20,123.513166752465053656,25253,1096,3119078.00,7421,29.39,4.25,0.50
31-October-2019,124.65,138.95,121.90,124.15,124.215944852390229282,26692,1083,3315572.00,9067,33.97,17.05,-0.50
30-October-2019,130.00,130.00,121.10,124.40,123.712154219244522997,24329,1082,3009793.00,8287,34.06,8.90,-5.60
29-October-2019,124.25,124.40,120.10,124.20,122.272355689022355689,23976,1074,2931602.00,5787,24.14,4.30,-0.05
27-October-2019,123.00,123.85,123.00,123.80,123.306481706822422324,12327,23,1519999.00,767,6.22,0.85,0.80
25-October-2019,122.80,123.40,120.50,123.40,122.655240902101486417,15608,1066,1914403.00,3520,22.55,2.90,0.60
24-October-2019,123.85,123.90,119.05,123.80,121.318523770136673362,25389,880,3080156.00,7664,30.19,4.85,-0.05
23-October-2019,123.90,123.95,117.60,123.10,122.213861984166361067,46357,1137,5665468.00,18952,40.88,6.35,-0.80
22-October-2019,121.00,123.90,117.25,123.70,120.460226678291194420,28675,1204,3454197.00,7111,24.80,6.65,2.70
18-October-2019,120.25,121.95,117.50,121.35,120.337293406478213774,28619,137,3443933.00,2972,10.38,4.45,1.10
17-October-2019,120.00,123.40,118.65,120.25,121.055120643431635388,18650,851,2257678.00,5956,31.94,4.75,0.25
16-October-2019,121.00,123.05,118.10,119.85,120.421384239232649990,31902,1121,3841683.00,9733,30.51,4.95,-1.15
15-October-2019,122.40,123.40,119.00,122.70,122.617853592843171834,31187,1112,3824083.00,17132,54.93,4.40,0.30
14-October-2019,140.00,140.00,118.55,121.80,121.302370356342518069,31683,603,3843223.00,8296,26.18,21.45,-18.20
11-October-2019,119.35,121.40,118.50,121.10,120.523294908741594620,37476,1128,4516731.00,21218,56.62,2.90,1.75
10-October-2019,119.50,120.60,118.05,120.55,119.958081991777769239,26027,666,3122149.00,9020,34.66,2.55,1.05
9-October-2019,117.00,120.30,117.00,120.15,119.699360590544017882,76946,287,9210387.00,53610,69.67,3.30,3.15
7-October-2019,118.25,120.30,116.00,119.30,118.885611709472521402,90525,1414,10762120.00,71981,79.52,4.30,1.05
