,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,1,-0.276172589,-0.069499541,0,0.049723612,-0.027993172,-0.123983508,0.390807089,0.606680503,0.14338523,0.628885799,0.053522165,0.048735665,-0.071335801,0.040047392,0.207103806,0.446464535,0.222863897,-0.193389666,-0.102521517,-0.238416855,-0.278291163,-0.294830639,-0.254033716,0.456895506,-0.28025946,0.33836757,0.032234617,0.173468305,0.357705443
2,-0.276172589,1,0.373329307,0,-0.854786122,-0.3912554,-0.151013685,-0.391000084,-0.154408612,-0.450031461,-0.460629099,-0.86390662,-0.482037204,-0.302545974,-0.473972626,0.521346629,-0.868001247,-0.14924202,-0.222137406,-0.135288644,-0.258325611,0.244575476,0.921766711,0.860652581,-0.030038491,0.657483805,-0.743540638,-0.556178356,-0.529009869,-0.712592236
3,-0.069499541,0.373329307,1,0,-0.189417287,-0.231725709,-0.069409479,-0.391024762,-0.081262558,-0.026935016,-0.360413305,-0.149645426,-0.099694877,-0.216250142,-0.093127886,-0.057808852,-0.225978371,-0.465447443,-0.106018727,-0.064654067,-0.147489596,0.353283258,0.42430519,0.187335023,-0.275964498,0.123648214,-0.015747835,0.112910943,0.007207326,-0.32013006
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.049723612,-0.854786122,-0.189417287,0,1,0.267623787,0.064788519,0.364274223,0.061114796,0.371323917,0.225565098,0.92161803,0.360950594,0.172456858,0.356784671,-0.635335745,0.707386549,0.035406506,0.09780105,0.056835842,0.115682344,-0.26530566,-0.800218023,-0.798218167,-0.072350895,-0.538091612,0.642942974,0.675671689,0.39965952,0.595269429
6,-0.027993172,-0.3912554,-0.231725709,0,0.267623787,1,0.30345994,-0.242643706,-0.321909788,0.670580731,-0.100334845,0.549039378,0.843788918,0.764159214,0.840553289,-0.273572896,0.31130876,-0.222986396,0.435671143,0.261072918,0.562728613,0.504925267,-0.423643807,-0.260408502,-0.233410714,-0.63810465,0.627272435,0.007600587,0.657140611,0.128727734
7,-0.123983508,-0.151013685,-0.069409479,0,0.064788519,0.30345994,1,-0.101548382,-0.075754103,0.085016206,-0.054087135,0.19192051,0.243412915,0.288857044,0.265015158,-0.057660311,0.106242469,-0.000456419,0.701031477,0.855545086,0.52361582,0.272944517,0.007087678,0.028921544,-0.095300509,-0.196947807,0.186069851,-0.023459242,0.256111478,0.059742599
8,0.390807089,-0.391000084,-0.391024762,0,0.364274223,-0.242643706,-0.101548382,1,0.612006948,-0.242228793,0.658182991,0.174852648,-0.27978578,-0.197534768,-0.272977123,0.143840667,0.401247808,0.612728919,-0.148545478,-0.085824902,-0.179464439,-0.787668515,-0.4458206,-0.245642871,0.679625901,-0.072305282,0.011944803,0.311695287,-0.271547455,0.491180051
9,0.606680503,-0.154408612,-0.081262558,0,0.061114796,-0.321909788,-0.075754103,0.612006948,1,-0.218024688,0.740362242,-0.082200638,-0.287638992,-0.284037013,-0.277335472,0.397268407,0.204133576,0.318699341,-0.137041676,-0.061462318,-0.18796748,-0.553264276,-0.173923831,-0.087663121,0.620808644,-0.053862084,0.0030772,0.018437862,-0.239632715,0.231951227
10,0.14338523,-0.450031461,-0.026935016,0,0.371323917,0.670580731,0.085016206,-0.242228793,-0.218024688,1,-0.058065201,0.562303794,0.887135423,0.328874158,0.884240725,-0.36587196,0.324671822,-0.338661015,0.115338658,0.075312156,0.168829643,0.525741602,-0.42244521,-0.318559594,-0.210864835,-0.610278994,0.811309862,0.08712565,0.82200725,0.092944288
11,0.628885799,-0.460629099,-0.360413305,0,0.225565098,-0.100334845,-0.054087135,0.658182991,0.740362242,-0.058065201,1,0.120518734,-0.094600554,-0.103178964,-0.090790118,0.275532771,0.475991404,0.380705047,-0.076382571,-0.045431963,-0.09110617,-0.603946712,-0.532224384,-0.380154019,0.547054634,-0.193275216,0.170143747,0.123448886,-0.090568744,0.44106416
12,0.053522165,-0.86390662,-0.149645426,0,0.92161803,0.549039378,0.19192051,0.174852648,-0.082200638,0.562303794,0.120518734,1,0.630729409,0.438114637,0.614124816,-0.709106687,0.720304893,-0.052710005,0.267273115,0.168843362,0.342037745,0.002401552,-0.816458998,-0.793997017,-0.173861564,-0.712186392,0.823859353,0.630263562,0.641370567,0.521906679
13,0.048735665,-0.482037204,-0.099694877,0,0.360950594,0.843788918,0.243412915,-0.27978578,-0.287638992,0.887135423,-0.094600554,0.630729409,1,0.679366348,0.966656628,-0.378147032,0.37696514,-0.291141087,0.371025865,0.209518259,0.504576374,0.596533183,-0.464379665,-0.338069275,-0.249200513,-0.711457057,0.825511731,0.053284373,0.848339608,0.135807899
14,-0.071335801,-0.302545974,-0.216250142,0,0.172456858,0.764159214,0.288857044,-0.197534768,-0.284037013,0.328874158,-0.103178964,0.438114637,0.679366348,1,0.637138835,-0.234066903,0.270339266,-0.098357843,0.438368436,0.245106399,0.641940629,0.382926729,-0.345618371,-0.235625129,-0.18860774,-0.538465116,0.448041557,-0.017596197,0.471263379,0.138489272
